,Action,Quantity,Price,Type,Balance,PNL,Fuzzy_sentiment_signal,MA_Signal,Bollinger,MACRO_0,MACRO_1,MACRO_2,VaR
2021-01-02,buy,1.0,33779.48,market,66220.51999999999,-875.6100000000006,0,0.0,1.0,3757.358041156775,-5.094827712369391,1.7712205013335254,0.13982642237222764
2021-01-03,sell,1.0,32903.87,market,99124.38999999998,-875.6100000000006,0,0.0,-1.0,3853.006971480046,-4.609197164186856,2.617242050398592,-0.027072758037225086
2021-01-05,buy,1.0,35130.05,market,63994.33999999998,2870.8199999999997,0,0.0,1.0,3780.935517877904,-3.040438932447985,1.7187209986864938,0.160338876686539
2021-01-07,sell,1.0,38000.87,market,101995.20999999999,2870.8199999999997,0,0.0,-1.0,3131.404246713895,-5.734607490435202,0.156541173079294,0.0071754729288975305
2021-01-08,buy,1.0,40665.15,market,61330.05999999999,-94.02999999999884,0,0.0,1.0,3074.558262361412,-4.6843214007042695,-0.7060483897016718,0.0761010362694301
2021-01-09,sell,1.0,40571.12,market,101901.18,-94.02999999999884,0,0.0,-1.0,3104.3185286204384,-4.343868508776751,-0.0595539150398964,-0.002407463135720711
2021-01-12,buy,1.0,34038.98,market,67862.19999999998,3507.1699999999983,1,0.0,0.0,3103.8340490826185,-3.257355163787494,0.3240539512866996,-0.04116865869853914
2021-01-13,sell,1.0,37546.15,market,105408.34999999998,3507.1699999999983,-1,0.0,0.0,3112.0527810407493,-3.857857276332247,-0.8317474982584815,0.10083102493074803
2021-01-14,buy,1.0,37800.01,market,67608.33999999997,-1502.6500000000015,1,0.0,0.0,3181.0006086605817,-2.635908743062229,-0.1712743572281188,0.006794162053346708
2021-01-18,sell,1.0,36297.36,market,103905.69999999997,-1502.6500000000015,-1,0.0,0.0,3271.068088204095,-2.935493933414347,0.0284971585337847,0.026562919237993032
2021-01-19,buy,1.0,35504.84,market,68400.85999999997,-3953.1199999999953,1,0.0,0.0,3242.002340749981,-2.9840483683754404,-0.2065200822150812,-0.022216414009409324
2021-01-26,sell,1.0,31551.72,market,99952.57999999997,-3953.1199999999953,-1,0.0,0.0,3235.482502692698,-3.365607085962792,-0.4507946239009028,-0.01843191196698757
2021-01-27,buy,1.0,30407.13,market,69545.44999999997,9067.36,1,0.0,0.0,3869.3624027556384,3.450053502466012,11.288497073489602,-0.03811659192825112
2021-02-05,buy,1.0,39056.37,market,30489.079999999965,9067.36,0,0.0,1.0,3024.2637706238024,-0.7742532672474217,-3.035918989563231,0.05813676435549198
2021-02-06,sell,2.0,39265.43,market,109019.93999999997,9067.36,0,0.0,-1.0,2945.089692378311,-0.6918081243427587,-2.838992029774297,0.006079711776626917
2021-02-08,buy,1.0,46448.1,market,62571.839999999975,-1598.0999999999985,0,0.0,1.0,2786.7415358873286,-0.5269178385334274,-2.4451381101964293,0.2070925210275063
2021-02-10,sell,1.0,44850.0,market,107421.83999999997,-1598.0999999999985,0,0.0,-1.0,2734.69979987952,0.1932676696636735,-1.806641002970866,-0.038880540946656605
2021-02-13,buy,1.0,47232.45,market,60189.38999999997,1930.8199999999997,1,0.0,0.0,2698.0062321873907,0.4788972640866113,-3.5589803718612942,-0.003509420022164811
2021-02-15,sell,1.0,49163.27,market,109352.65999999997,1930.8199999999997,-1,0.0,0.0,2665.8318550969184,0.8699570702692582,-2.7600524152695294,0.0523364485981308
2021-02-16,buy,1.0,49737.0,market,59615.659999999974,5977.440000000002,1,0.0,0.0,2649.7446665516786,1.0654869733605634,-2.360588436973632,0.010834813499111862
2021-02-19,sell,1.0,55714.44,market,115330.09999999998,5977.440000000002,-1,0.0,0.0,2678.1791449961847,0.4267876331459244,-1.6396452879057837,0.08439463406350822
2021-02-21,buy,1.0,55899.97,market,59430.129999999976,-5924.720000000001,1,0.0,0.0,2659.92602326754,2.241806781805349,-1.2269155971173509,-0.0001561036528254789
2021-02-22,sell,1.0,49975.25,market,109405.37999999998,-5924.720000000001,-1,0.0,0.0,2650.799462403217,3.1493163561350603,-1.0205507517231365,-0.10928961748633881
2021-02-23,buy,1.0,48899.99,market,60505.38999999998,-3372.8799999999974,1,0.0,0.0,2635.1385826861315,2.9432859976731884,-1.4053934965584685,-0.026993865030674802
2021-02-25,sell,1.0,45527.11,market,106032.49999999997,-3372.8799999999974,-1,0.0,0.0,2770.4786086448107,6.964109895218403,3.5553951824732093,-0.08764799434529069
2021-02-26,buy,1.0,46326.2,market,59706.299999999974,13428.280000000006,1,0.0,0.0,3240.120409705585,6.76147175296585,1.9860483245088827,0.017238039899283297
2021-03-14,sell,1.0,59754.48,market,119460.77999999997,13428.280000000006,-1,0.0,-1.0,1277.296579952569,0.3191155847481304,-1.7160862640507577,-0.022905189910118917
2021-03-15,buy,1.0,55636.15,market,63824.62999999997,7335.6500000000015,1,0.0,0.0,1219.0238595118756,-0.0568553934596598,-1.7719164539425794,-0.07151335311572704
2021-04-14,sell,1.0,62971.8,market,126796.42999999996,7335.6500000000015,-1,0.0,-1.0,441.6065297296232,-6.279000673009095,-2.390607773115569,-0.020902090209020896
2021-04-15,buy,1.0,61712.36,market,65084.06999999996,-285.0900000000038,1,0.0,0.0,136.5088746897935,-7.327364688223667,-1.9881884648218608,-0.020646067415730385
2021-04-16,sell,1.0,61427.27,market,126511.33999999997,-285.0900000000038,-1,0.0,0.0,-28.168460540918225,-8.32547382699159,-1.7922717770745946,-0.00487595009321673
2021-04-17,buy,1.0,54986.39,market,71524.94999999997,1288.020000000004,1,0.0,0.0,12.844761987593447,-7.998198905773735,-1.5583049555252362,-0.10779651246577315
2021-04-18,sell,1.0,56274.41,market,127799.35999999997,1288.020000000004,-1,0.0,0.0,53.85798451609785,-7.6709239845559,-1.3243381339758649,0.02325957034404791
2021-04-19,buy,1.0,55353.73,market,72445.62999999998,-4166.460000000006,1,0.0,0.0,94.87120704460952,-7.343649063338044,-1.0903713124265066,-0.016732438831886354
2021-04-23,sell,1.0,51187.27,market,123632.89999999997,-4166.460000000006,0,0.0,-1.0,129.01587938842,-8.306740129903293,-0.8378058765156637,0.043667331038231616
2021-05-09,buy,1.0,59230.42,market,64402.47999999997,-3850.6199999999953,0,1.0,0.0,-581.962498607774,-8.059917626650927,1.6296717261407112,0.0182648401826484
2021-05-10,sell,1.0,55379.8,market,119782.27999999997,-3850.6199999999953,-1,0.0,0.0,-570.3144702268468,-7.731265145348072,2.5676481599836154,-0.06696562032884901
2021-05-14,buy,1.0,49368.92,market,70413.35999999997,-10409.979999999996,1,0.0,0.0,-209.63190573878208,-6.175673188497972,0.6587427202466224,-0.006726854310497465
2021-05-15,buy,1.0,48118.82,market,22294.53999999997,-10409.979999999996,0,0.0,1.0,-191.519561366094,-5.710581999205877,0.8453925361469886,-0.026020317234004664
2021-05-16,sell,2.0,43538.88,market,109372.29999999996,-10409.979999999996,-1,0.0,0.0,-173.40721699341307,-5.245490809913824,1.032042352047375,-0.09771271729185727
2021-05-17,buy,1.0,43580.5,market,65791.79999999996,-2957.1699999999983,1,0.0,0.0,-155.29487262072496,-4.780399620621729,1.2186921679477407,0.0004055972419387821
2021-05-20,sell,1.0,40623.33,market,106415.12999999996,-2957.1699999999983,0,0.0,-1.0,88.36276977588807,-7.649872953156425,2.7034265670601574,0.10982099661344935
2021-06-02,buy,1.0,37970.64,market,68444.48999999996,-4858.979999999996,1,0.0,0.0,-427.89772753053006,-4.166645434184735,-1.2062246000708403,0.03654970760233911
2021-06-07,buy,1.0,32869.08,market,35575.40999999996,-4858.979999999996,0,0.0,1.0,-457.7606832470107,-4.192203546211507,-2.2612683764234456,-0.09512074913750612
2021-06-08,sell,2.0,32990.37,market,101556.14999999997,-4858.979999999996,0,0.0,-1.0,-427.3443137370287,-3.023795106807928,-1.990494624641021,0.00299564270152497
2021-06-14,buy,1.0,40530.39,market,61025.759999999966,-258.58000000000175,0,0.0,1.0,-221.28088687821503,-1.581046155658777,-3.3368933874100866,0.03384056325232798
2021-06-15,sell,1.0,40271.81,market,101297.56999999996,-258.58000000000175,-1,0.0,-1.0,-126.8661964992047,0.0516639141347246,-3.300758603092124,-0.006590509666080879
2021-06-16,buy,1.0,38811.19,market,62486.37999999996,-5892.6500000000015,1,0.0,0.0,138.7922981811872,1.4075516148428766,-2.909773903488327,-0.03759398496240607
2021-06-21,sell,1.0,32918.54,market,95404.91999999995,-5892.6500000000015,-1,0.0,0.0,295.48332289208355,3.5223904118933125,-3.953649434853679,-0.038421327757449
2021-06-22,buy,1.0,32538.37,market,62866.54999999996,-2126.4200000000055,1,0.0,0.0,226.87461284284063,2.416780303731885,-4.822859323049876,-0.011959771677086173
2021-07-10,buy,1.0,33472.51,market,29394.039999999957,-2126.4200000000055,1,0.0,0.0,-739.7087657147594,-0.3752228515726463,-3.3043890258295328,-0.005037115588547136
2021-07-13,sell,2.0,31942.23,market,93278.49999999996,-2126.4200000000055,-1,0.0,0.0,-716.3351224034602,0.733990073215973,-2.758044189594975,-0.03720679428417362
2021-07-17,buy,1.0,32085.24,market,61193.25999999995,-2422.9300000000003,0,0.0,-1.0,-273.43614017922346,-1.7380273022822517,0.1947367168363027,0.02281151981750784
2021-07-19,sell,1.0,29662.31,market,90855.56999999995,-2422.9300000000003,0,0.0,1.0,210.4518384916816,-2.3765783766893867,2.647999037380409,-0.0678300028145229
2021-07-25,buy,1.0,38300.01,market,52555.55999999995,1655.0400000000081,0,0.0,1.0,-944.251328281682,-2.995527925074843,-0.9352070922454758,0.12184326998177553
2021-07-27,buy,1.0,39694.11,market,12861.449999999946,1655.0400000000081,0,1.0,0.0,-886.0435708067836,-2.670274949741813,0.9270369413422946,0.06709646609360087
2021-07-29,sell,2.0,39824.58,market,92510.60999999996,1655.0400000000081,0,0.0,-1.0,-912.0644329277824,-1.4104752730408037,-1.179698908895429,-0.00532032808689864
2021-07-30,buy,1.0,42237.95,market,50272.65999999996,-163.29999999999563,0,0.0,1.0,-763.0070037242015,-0.3708094260158541,-1.16393680102764,0.06262536215734338
2021-07-31,sell,1.0,42074.65,market,92347.30999999997,-163.29999999999563,0,0.0,-1.0,-730.5661857756303,-0.9570546517648664,-0.6014915429831887,-0.004194630872483174
2021-08-01,buy,1.0,39671.67,market,52675.63999999997,13767.5,-1,0.0,0.0,-698.1254508232951,-1.5323186948030212,-0.0196915829051043,-0.05897219882055604
2021-08-04,buy,1.0,39343.31,market,13332.329999999973,13767.5,-1,0.0,0.0,-620.1830820349459,-5.361051846753933,-0.1046446704380182,0.03700234192037466
2021-08-16,sell,2.0,46391.24,market,106114.80999999997,13767.5,1,0.0,0.0,-1452.9016856907322,-9.89328421277454,0.6256702492816031,-0.023893970505880158
2021-09-06,buy,1.0,52539.52,market,53575.28999999997,-5645.019999999997,0,0.0,1.0,-994.7837913287308,-6.395026134086011,0.56414349119018,0.016351118760757233
2021-09-07,sell,1.0,46894.5,market,100469.78999999998,-5645.019999999997,0,0.0,-1.0,-927.5104788884928,-6.201299290694712,0.8734948411982049,-0.10956816257408974
2021-09-24,buy,1.0,42722.31,market,57747.47999999998,-474.34999999999854,-1,0.0,0.0,-625.5395146609566,0.3735859732722152,-1.808568039545076,-0.03721682847896435
2021-09-25,sell,1.0,42247.96,market,99995.43999999997,-474.34999999999854,1,0.0,0.0,-649.3309529795199,0.804936240695782,-1.5741984050636222,-0.012815126050420123
2021-09-27,buy,1.0,42647.7,market,57347.739999999976,-397.6299999999974,-1,0.0,0.0,-696.9138296166466,1.6676367755429184,-1.1054591361007124,-0.0314478251991015
2021-09-28,sell,1.0,42250.07,market,99597.80999999997,-397.6299999999974,1,0.0,0.0,-127.53390486296009,5.155162770136725,1.7553331804529082,-0.009909340080118123
2021-10-01,buy,1.0,47605.42,market,51992.38999999997,30066.800000000003,-1,0.0,0.0,-154.0092377546393,4.97653628724292,-0.3722012482009131,0.09328665568369021
2021-10-02,buy,1.0,47915.24,market,4077.1499999999724,30066.800000000003,-1,0.0,0.0,-46.165484384054274,6.1178343762719845,-0.2272856149429437,0.006404219250329524
2021-11-02,sell,2.0,62793.73,market,129664.60999999999,30066.800000000003,1,0.0,0.0,-1880.2016465045044,4.205218088343032,-2.997482313230416,0.019920318725099584
2021-11-05,buy,1.0,61248.09,market,68416.51999999999,4228.560000000005,-1,0.0,0.0,-2155.505619913564,0.7039879549629112,-1.0557140768146376,0.005385190725504918
2021-11-07,sell,1.0,65476.65,market,133893.16999999998,4228.560000000005,0,0.0,1.0,-2225.019679162429,1.0213978024616857,-0.549183686428075,0.05328467153284677
2021-11-09,buy,1.0,66345.14,market,67548.02999999998,-2726.8799999999974,-1,0.0,-1.0,-2147.54707962965,3.855875190188134,-0.6821339559215189,-0.0304197662061636
2021-11-12,sell,1.0,63618.26,market,131166.28999999998,-2726.8799999999974,1,0.0,0.0,-1927.866590687005,1.20274040489911,-1.6836145475144766,-0.01658001967120981
2021-11-19,buy,1.0,58473.0,market,72693.28999999998,-998.75,0,0.0,-1.0,-1429.5193681323296,-0.9322771785975498,-0.158174162203447,0.03735116620453427
2021-11-21,sell,1.0,57474.25,market,130167.53999999998,-998.75,0,-1.0,0.0,-1441.033103153916,-0.3180232738702405,0.5914727369906346,-0.026623073330219515
2021-11-29,buy,1.0,56310.25,market,73857.28999999998,653.0699999999997,-1,0.0,0.0,-963.4487779307266,-3.507991094460092,5.432405112548641,-0.0216623876765083
2021-12-01,sell,1.0,56963.32,market,130820.60999999999,653.0699999999997,1,0.0,0.0,150.46928075877182,-0.9153164144169637,11.682462531598452,0.0030904359141183946
2021-12-02,buy,1.0,56780.42,market,74040.18999999999,-2395.0999999999913,-1,0.0,0.0,-467.2827382330274,-3.175595204193056,9.961644561322707,-0.005026755310523767
2021-12-03,buy,1.0,47502.84,market,26537.34999999999,-2395.0999999999913,0,0.0,1.0,-407.5695270968865,-2.381185698743108,12.360001199945817,-0.15645371577574962
2021-12-06,sell,2.0,50944.08,market,128425.51,-2395.0999999999913,0,0.0,-1.0,-1054.5314947708937,-2.8962524978348725,9.732313404548249,0.04615093625874778
2021-12-12,buy,1.0,49275.97,market,79149.54,-2566.209999999999,-1,0.0,0.0,-1585.1439144750843,-5.54635993990949,3.393273831685146,0.003951825366955264
2021-12-13,sell,1.0,46709.76,market,125859.29999999999,-2566.209999999999,1,0.0,0.0,-1478.4635172271887,-5.122721500657257,3.704129064939468,-0.053983130271790025
2021-12-16,buy,1.0,47722.79,market,78136.50999999998,-1104.050000000003,-1,0.0,0.0,-1725.1561993476723,-4.96574764923349,4.149095635108522,-0.0194508009153318
2021-12-17,sell,1.0,46618.74,market,124755.24999999997,-1104.050000000003,1,0.0,0.0,-1192.9548257591846,-3.911987428988575,4.1099212172566055,-0.024115130299494414
2021-12-19,buy,1.0,46434.08,market,78321.16999999997,2184.5999999999985,-1,0.0,0.0,-904.09656677217,-3.918182936991747,4.680424450343348,-0.022612085769980528
2021-12-20,sell,1.0,48618.68,market,126939.84999999998,2184.5999999999985,1,0.0,0.0,-759.6674372786628,-3.921280690993333,4.965676066886719,0.049461507778221
2022-01-01,buy,1.0,47093.4,market,79846.44999999998,-4046.270000000004,-1,0.0,0.0,-2248.082796120704,-5.025000502206349,1.14936327353761,-0.0029417532849578265
2022-01-05,sell,1.0,43047.13,market,122893.57999999999,-4046.270000000004,0,0.0,1.0,-2234.645500151172,-1.9532584212414423,3.179531195006187,-0.07307769524191932
2022-01-08,buy,1.0,41770.5,market,81123.07999999999,1327.0599999999977,0,0.0,-1.0,-2004.9405883453385,-0.4653153348080915,1.484309489436905,-0.004455335263978566
2022-01-13,buy,1.0,42909.42,market,38213.65999999999,1327.0599999999977,-1,0.0,0.0,-1941.177928254264,3.291095895069096,1.609678310814502,-0.01835645677694775
2022-01-14,sell,2.0,43003.49,market,124220.63999999998,1327.0599999999977,1,0.0,0.0,-1739.3804679627326,5.521349061839524,-0.5697603723878066,0.0028267014568383875
2022-01-21,buy,1.0,35750.73,market,88469.90999999997,-281.1200000000026,-1,0.0,0.0,-92.95326049885634,16.15466636516508,3.93441083596177,-0.08449351896303403
2022-01-22,sell,1.0,35469.61,market,123939.51999999997,-281.1200000000026,1,0.0,0.0,-125.9944351568083,15.923266297101629,4.4645343584636565,-0.007603565810173074
2022-01-23,buy,1.0,35195.67,market,88743.84999999998,5784.939999999988,-1,0.0,0.0,-159.035609814753,15.691866229038189,4.994657880965529,-0.009247027741083214
2022-01-24,buy,1.0,36062.44,market,52681.409999999974,5784.939999999988,1,0.0,-1.0,-192.07678447270496,15.46046616097473,5.524781403467414,0.024799999999999933
2022-01-26,buy,1.0,35997.94,market,16683.469999999972,5784.939999999988,-1,0.0,0.0,4.31604699896525,20.5174397593224,5.837846991960839,-0.04458281444582812
2022-01-28,sell,3.0,37680.33,market,129724.45999999998,5784.939999999988,1,0.0,0.0,-553.0592479249217,16.463215321027278,3.517687055197805,0.013602015113350019
2022-02-08,buy,1.0,43624.5,market,86099.95999999998,4534.459999999992,0,0.0,-1.0,-1290.377097592614,13.27250992289907,-1.0636074489931775,-0.0289221806075739
