"Action","Quantity","Price","Balance","PNL","SentimentAgent","MAAgent","BollingerAgent","RSIAgent","MACRO_0","MACRO_1","MACRO_2","VaR"
"buy",1,34038.98,65961.01999999999,3507.1699999999983,1,0,0,0,3103.8340490826185,-3.257355163787494,0.3240539512866996,-0.04116865869853914
"sell",1,37546.15,103507.16999999998,3507.1699999999983,-1,0,0,0,3112.0527810407493,-3.857857276332247,-0.8317474982584815,0.10083102493074803
"buy",1,37800.01,65707.15999999997,-1502.6500000000015,1,0,0,0,3181.0006086605817,-2.635908743062229,-0.1712743572281188,0.006794162053346708
"sell",1,36297.36,102004.51999999997,-1502.6500000000015,-1,0,0,0,3271.068088204095,-2.935493933414347,0.0284971585337847,0.026562919237993032
"buy",1,35504.84,66499.67999999998,-3953.1199999999953,1,0,0,0,3242.002340749981,-2.9840483683754404,-0.2065200822150812,-0.022216414009409324
"sell",1,31551.72,98051.39999999998,-3953.1199999999953,-1,0,0,0,3235.482502692698,-3.365607085962792,-0.4507946239009028,-0.01843191196698757
"buy",1,30407.13,67644.26999999997,6567.869999999999,1,0,0,1,3869.3624027556384,3.450053502466012,11.288497073489602,-0.03811659192825112
"sell",1,36975,104619.26999999997,6567.869999999999,0,0,0,-1,3116.647101268366,-0.7038908515564474,-2.1686074481447544,-0.016865776528460996
"buy",1,47232.45,57386.81999999998,1930.8199999999997,1,0,0,0,2698.0062321873907,0.4788972640866113,-3.5589803718612942,-0.003509420022164811
"sell",1,49163.27,106550.08999999997,1930.8199999999997,-1,0,0,0,2665.8318550969184,0.8699570702692582,-2.7600524152695294,0.0523364485981308
"buy",1,49737,56813.08999999997,5977.440000000002,1,0,0,0,2649.7446665516786,1.0654869733605634,-2.360588436973632,0.010834813499111862
"sell",1,55714.44,112527.52999999997,5977.440000000002,-1,0,0,0,2678.1791449961847,0.4267876331459244,-1.6396452879057837,0.08439463406350822
"buy",1,55899.97,56627.55999999997,-5924.720000000001,1,0,0,0,2659.92602326754,2.241806781805349,-1.2269155971173509,-0.0001561036528254789
"sell",1,49975.25,106602.80999999997,-5924.720000000001,-1,0,0,0,2650.799462403217,3.1493163561350603,-1.0205507517231365,-0.10928961748633881
"buy",1,48899.99,57702.81999999997,-3372.8799999999974,1,0,0,0,2635.1385826861315,2.9432859976731884,-1.4053934965584685,-0.026993865030674802
"sell",1,45527.11,103229.92999999996,-3372.8799999999974,-1,0,0,0,2770.4786086448107,6.964109895218403,3.5553951824732093,-0.08764799434529069
"buy",1,46326.2,56903.72999999997,10834.780000000006,1,0,0,0,3240.120409705585,6.76147175296585,1.9860483245088827,0.017238039899283297
"sell",1,57160.98,114064.70999999996,10834.780000000006,0,0,0,-1,1686.8880538644275,2.99287587990347,-1.3601317982689811,0.023836008263149466
"buy",1,55636.15,58428.55999999996,2251.6699999999983,1,0,0,0,1219.0238595118756,-0.0568553934596598,-1.7719164539425794,-0.07151335311572704
"sell",1,57887.82,116316.37999999996,2251.6699999999983,0,0,0,-1,1310.2093426482083,-4.419955305189357,1.0362986623972656,-0.018485121731289467
"buy",1,61712.36,54604.01999999996,-285.0900000000038,1,0,0,0,136.5088746897935,-7.327364688223667,-1.9881884648218608,-0.020646067415730385
"sell",1,61427.27,116031.28999999995,-285.0900000000038,-1,0,0,0,-28.168460540918225,-8.32547382699159,-1.7922717770745946,-0.00487595009321673
"buy",0.95,54986.39,63794.219499999956,1223.619000000006,1,0,0,0,12.844761987593447,-7.998198905773735,-1.5583049555252362,-0.10779651246577315
"sell",0.95,56274.41,117254.90899999996,1223.619000000006,-1,0,0,0,53.85798451609785,-7.6709239845559,-1.3243381339758649,0.02325957034404791
"buy",0.95,55353.73,64668.865499999956,2372.130999999994,1,0,0,0,94.87120704460952,-7.343649063338044,-1.0903713124265066,-0.016732438831886354
